Aano_EGB05519	PHD SNF2_N Helicase_C
Exapal_XP_020909422.1	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PHD PHD
Exapal_XP_020912943.1	PHD zf-MYND
Exapal_XP_020912944.1	PHD zf-MYND
Exapal_XP_020913852.1	ubiquitin TTD PHD SAD_SRA
Exapal_XP_020913853.1	ubiquitin TTD PHD SAD_SRA
Exapal_XP_020914914.1	HARE-HTH ASXH PHD_3
Exapal_XP_020917299.1	PHD_2 zf-HC5HC2H_2
Exapal_XP_020917487.1	PHD_2 zf-HC5HC2H_2
Exapal_XP_020917722.1	PHD zf-HC5HC2H_2 PHD PHD
Exapal_XP_028512574.1	PHD zf-HC5HC2H_2 PHD PHD
Exapal_XP_028512688.1	PHD
Exapal_XP_028512689.1	PHD
Exapal_XP_028513874.1	Requiem_N PHD
Exapal_XP_028513875.1	Requiem_N PHD
Exapal_XP_028514328.1	PHD BRK TFIIS_M SPOC
Exapal_XP_028514658.1	PHD PHD
Exapal_XP_028514755.1	HTH_Tnp_Tc5 DDE_1 PHD
Exapal_XP_028515450.1	DDT WHIM1 WSD PHD PHD Bromodomain
Exapal_XP_028515920.1	PHD
Exapal_XP_028515945.1	CHDNT PHD PHD SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Exapal_XP_028516061.1	PHD SET
Exapal_XP_028516823.1	zf-HC5HC2H PHD PHD PHD PHD
Exapal_XP_028516824.1	zf-HC5HC2H PHD PHD PHD PHD
Exapal_XP_028516825.1	zf-HC5HC2H PHD PHD PHD PHD
Exapal_XP_028516827.1	zf-HC5HC2H PHD PHD PHD PHD
Fabtro_Gene.11594	EPL1 PHD_2 zf-HC5HC2H_2
Fabtro_Gene.15833	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Fabtro_Gene.18717	PHD
Fabtro_Gene.21066	PHD
Fabtro_Gene.30070	PHD
Fabtro_Gene.3021	PHD TFIIS_M SPOC
Fabtro_Gene.36325	PHD
Fabtro_Gene.37120	PHD
Fabtro_Gene.47224	PHD
Fabtro_Gene.57480	PHD PHD
Falb_KCV68866	PHD
Falb_KCV70848	PHD
Falb_KCV72421	BAH PHD
Falb_KCV73314	PHD
Gefoke_MALSP_00092.mRNA.1	SNF2_N Helicase_C RCC1 RCC1 RCC1 RCC1 RCC1 PHD PHD HMG_box PHD
Gefoke_MALSP_00092.mRNA.2	SNF2_N Helicase_C RCC1 RCC1 RCC1 RCC1 RCC1 PHD PHD HMG_box PHD
Gefoke_MALSP_00092.mRNA.4	SNF2_N Helicase_C RCC1 RCC1 RCC1 RCC1 RCC1 PHD PHD HMG_box PHD
Gefoke_MALSP_01407.mRNA.1	Chromo Bromodomain PHD zf-CCHC PHD
Gefoke_MALSP_01969.mRNA.1	PHD Chromo Chromo SNF2_N Helicase_C FYRN FYRC
Gefoke_MALSP_02237.mRNA.1	PHD FHA
Gefoke_MALSP_02858.mRNA.1	PHD
Gefoke_MALSP_03055.mRNA.1	PWWP PHD Bromodomain
Gefoke_MALSP_03272.mRNA.1	PHD
Gefoke_MALSP_03752.mRNA.1	PHD
Gefoke_MALSP_05168.mRNA.1	Bromodomain PHD
Gefoke_MALSP_09823.mRNA.1	Bromodomain PHD
Gefoke_MALSP_10192.mRNA.1	PHD_2 zf-HC5HC2H_2 SNF2_N Helicase_C
Gefoke_MALSP_12055.mRNA.1	PHD PHD PHD
Gefoke_MALSP_13024.mRNA.1	EPL1 PHD_2 zf-HC5HC2H_2
Gefoke_MALSP_13029.mRNA.1	PHD
Gefoke_MALSP_13087.mRNA.1	PHD TFIIS_M SPOC
Gefoke_MALSP_13099.mRNA.1	PHD PHD
Gefoke_MALSP_13099.mRNA.2	PHD PHD
Gefoke_MALSP_13210.mRNA.1	ING PHD
Gefoke_MALSP_13210.mRNA.3	ING PHD
Gefoke_MALSP_13313.mRNA.1	PHD_2 zf-HC5HC2H_2 Chromo SNF2_N Helicase_C
Gefoke_MALSP_13313.mRNA.2	PHD_2 zf-HC5HC2H_2 Chromo SNF2_N Helicase_C
Gefoke_MALSP_13682.mRNA.1	PHD
Gefoke_MALSP_14824.mRNA.1	PHD SET
Gefoke_MALSP_14902.mRNA.1	PHD Bromodomain
Gefoke_MALSP_14902.mRNA.2	PHD Bromodomain
Gefoke_MALSP_16917.mRNA.1	MIT PHD
Gefoke_MALSP_17268.mRNA.1	JmjN ARID PHD JmjC zf-C5HC2
Gefoke_MALSP_17268.mRNA.3	JmjN ARID PHD JmjC
Gefoke_MALSP_18481.mRNA.1	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Gefoke_MALSP_18589.mRNA.1	PHD PHD
Gefoke_MALSP_18743.mRNA.1	PHD zf-CpG_bind_C
Gefoke_MALSP_18743.mRNA.2	PHD zf-CpG_bind_C
Glam_EDO76699	PHD_2 zf-HC5HC2H_2
Gonavo_comp166470_c0_seq1_6_ORF1_392	PHD_2 zf-HC5HC2H_2
Gonavo_comp23927_c0_seq1_6_ORF12_420	PHD PHD
Gonavo_comp269783_c0_seq1_6_ORF2_231	PHD zf-HC5HC2H_2
Gonavo_comp34282_c0_seq1_6_ORF10_412	PHD_2 zf-HC5HC2H_2
Gonavo_comp37637_c0_seq1_6_ORF5_283	PHD_2 zf-HC5HC2H_2
Gonavo_comp38381_c1_seq1_6_ORF1_845	EVE PHD
Gonavo_comp43175_c0_seq1_6_ORF11_176	PHD_2
Gonavo_comp47239_c0_seq1_6_ORF16_768	PHD WD40 WD40 WD40
Gonavo_comp49735_c1_seq1_6_ORF8_324	PWWP PHD
Gonavo_comp52815_c0_seq1_6_ORF23_851	PHD SNF2_N SNF2_N
Gonavo_comp53066_c1_seq1_6_ORF15_862	F-box-like Ank_2 Ank_2 Ank_2 PHD
Gonavo_comp53247_c0_seq1_6_ORF6_297	EPL1 PHD_2
Gonavo_comp53247_c1_seq2_6_ORF8_1228	zf-HC5HC2H_2 PHD_2 zf-HC5HC2H_2
Gonavo_comp53578_c0_seq1_6_ORF5_696	PHD LRR_6
Gonavo_comp53923_c0_seq1_6_ORF23_537	PHD_2 zf-HC5HC2H_2
Gonavo_comp54911_c1_seq1_6_ORF38_1458	zf-HC5HC2H_2 SNF2_N Helicase_C
Gonavo_comp56925_c1_seq2_6_ORF36_1465	PHD_2 zf-HC5HC2H_2 PHD PLU-1 PLU-1 PLU-1 PLU-1 PWWP
Gonavo_comp57041_c0_seq1_6_ORF3_659	PWWP PHD PHD
Gonavo_comp57357_c0_seq3_6_ORF5_197	PHD_2
Gonavo_comp57965_c0_seq7_6_ORF7_279	PHD
Gonavo_comp58511_c1_seq1_6_ORF53_1243	PHD PHD Chromo Chromo SNF2_N Helicase_C
Gonavo_comp58575_c0_seq1_6_ORF59_1546	PHD PHD Bromodomain Bromodomain Bromodomain Bromodomain Bromodomain Bromodomain
Gonavo_comp58943_c0_seq1_6_ORF2_262	Chromo PHD_2 zf-HC5HC2H_2
Gonavo_comp59416_c3_seq1_6_ORF2_770	PHD OTU
Gonavo_comp60102_c2_seq1_6_ORF19_753	PHD
Gonavo_comp62070_c9_seq1_6_ORF6_469	PHD
Gonavo_comp62291_c1_seq1_6_ORF9_217	PWWP PHD
Gonavo_comp82130_c0_seq1_6_ORF7_304	PHD_2 zf-HC5HC2H_2
Gonavo_comp94412_c0_seq1_6_ORF1_552	PWWP PHD
Gonavo_g10458.t1	PHD Acetyltransf_1
Gonavo_g12223.t1	DDT PHD
Gonavo_g20007.t1	PHD
Gonavo_g21794.t1	PHD_2 zf-HC5HC2H_2
Gonavo_g30290.t1	PHD_2 zf-HC5HC2H_2 HMG_box_2
Gonavo_g30292.t1	SNF2_N Helicase_C RAMA zf-HC5HC2H_2 PHD_2 zf-HC5HC2H_2
Gonavo_g30951.t1	PHD MRG
Gonavo_g35398.t1	PHD_2 zf-HC5HC2H_2 ARID
Gonavo_g5864.t1	JmjN ARID PHD JmjC
Gonavo_g600.t1	EPL1 PHD_2 zf-HC5HC2H_2
Gonavo_g68.t1	Tudor-knot PHD
Gpro_KXS11625	PHD TFIIS_M SPOC
Gpro_KXS11627	PHD
Gpro_KXS12195	CRC_subunit PHD
Gpro_KXS14904	PHD
Gpro_KXS15155	BAH PHD PHD_2 zf-HC5HC2H_2
Gpro_KXS16563	PHD SPRY
Gpro_KXS18234	PHD
Gpro_KXS19202	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Gpro_KXS19869	ARID PHD JmjC PLU-1 PHD PHD
Gpro_KXS20229	PHD
Gpro_KXS20612	PHD
Gpro_KXS22081	PHD
Gpro_KXS22089	PHD
Gracho_PXF43199.1	PHD
Gracho_PXF44865.1	PHD
Gracho_PXF47286.1	PHD
Gracho_PXF47316.1	PHD
Gthe_EKX31238	PHD
Gthe_EKX33011	PHD
Gthe_EKX37335	PHD ARID
Gthe_EKX38414	PWWP HMG_box PHD
Gthe_EKX38661	PHD
Gthe_EKX39353	PHD
Gthe_EKX42383	PHD PHD
Gthe_EKX43546	Zn_clus PHD
Gthe_EKX45444	PHD
Gthe_EKX47051	PHD PHD
Gthe_EKX49122	PHD TCR
Gthe_EKX50606	PHD
Gthe_EKX52046	JmjN ARID JmjC zf-C5HC2 zf-HC5HC2H_2 PHD
Gthe_EKX52891	PHD
Gthe_EKX53176	PHD
Gthe_EKX54179	PHD
Gthe_EKX54180	PHD
Gthe_EKX55160	PHD_2 zf-HC5HC2H_2
Gthe_EKX55161	zf-HC5HC2H_2
Hduj_OQV14126.1	PHD
Hduj_OQV15730.1	PHD
Hduj_OQV17635.1	PHD
Hduj_OQV18172.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Hduj_OQV18331.1	ING PHD
Hduj_OQV19549.1	PHD
Hduj_OQV20057.1	DDT PHD PHD PHD Bromodomain
Hduj_OQV21487.1	Cofilin_ADF SH3_1 zf-HC5HC2H_2 PHD
Hduj_OQV22499.1	Requiem_N PHD
Hduj_OQV23220.1	zf-HC5HC2H PHD PHD FYRN FYRC SET
Hduj_OQV23596.1	PHD zf-CpG_bind_C
Hduj_OQV23826.1	JmjN ARID PHD JmjC zf-C5HC2 PLU-1
Hduj_OQV23924.1	Bromo_TP PHD
Hduj_OQV24277.1	PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Hduj_OQV24442.1	PHD zf-C2HC MOZ_SAS
Hduj_OWA50550.1	PHD
Hduj_OWA51734.1	PHD BRK TFIIS_M SPOC
Hduj_OWA52214.1	PHD_2 zf-HC5HC2H_2
Hduj_OWA52914.1	PHD_2
Hduj_OWA53051.1	PHD
Hduj_OWA53052.1	PHD
Hduj_OWA53189.1	PHD_2
Hduj_OWA53711.1	PHD
Helrob_HelroP100648	PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Helrob_HelroP111384	PHD PWWP
Helrob_HelroP111636	PHD_2 zf-HC5HC2H_2
Helrob_HelroP112476	PHD zf-CXXC zf-CpG_bind_C
Helrob_HelroP113832	ubiquitin TTD PHD SAD_SRA
Helrob_HelroP123765	PHD PHF12_MRG_bd PHD
Helrob_HelroP136106	PHD
Helrob_HelroP158461	PHD
Helrob_HelroP161339	PHD SET
Helrob_HelroP162279	PHD
Helrob_HelroP162605	PHD
Helrob_HelroP164285	PHD
Helrob_HelroP164396	PHD
Helrob_HelroP165286	PHD
Helrob_HelroP165310	PHD
Helrob_HelroP166841	PHD
Helrob_HelroP166864	PHD Exo_endo_phos_2
Helrob_HelroP166947	PHD
Helrob_HelroP168159	HARE-HTH ASXH PHD_3
Helrob_HelroP169178	PHD
Helrob_HelroP170059	PHD
Helrob_HelroP170360	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Helrob_HelroP171105	PHD
Helrob_HelroP171602	PHD
Helrob_HelroP172954	PHD
Helrob_HelroP175124	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Helrob_HelroP175348	Requiem_N PHD
Helrob_HelroP175839	WSD PHD
Helrob_HelroP179186	PHD
Helrob_HelroP181243	PHD
Helrob_HelroP181249	PHD
Helrob_HelroP181288	PHD
Helrob_HelroP182558	PHD
Helrob_HelroP183163	PHD
Helrob_HelroP183412	PHD
Helrob_HelroP183538	PHD
Helrob_HelroP188679	zf-RING_2 PHD
Helrob_HelroP188840	PHD zf-HC5HC2H_2
Helrob_HelroP188966	DDT WHIM1 WSD PHD Bromodomain
Helrob_HelroP192879	DDT PHD
Helrob_HelroP194139	PHD_2 zf-HC5HC2H_2
Helrob_HelroP194466	JmjN PHD JmjC zf-C5HC2 PLU-1
Helrob_HelroP66688	PHD Bromodomain
Helrob_HelroP67491	PHD Bromodomain
Helrob_HelroP67786	PHD
Helrob_HelroP71521	PHD
Helrob_HelroP71717	EPL1 PHD_2 zf-HC5HC2H_2
Helrob_HelroP75856	JmjN ARID PHD JmjC
Helrob_HelroP75918	PHD_2 zf-HC5HC2H_2
Helrob_HelroP78656	PHD
Helrob_HelroP78708	zf-HC5HC2H PHD
Helrob_HelroP79229	ubiquitin TTD PHD SAD_SRA
Helrob_HelroP83056	EPL1 PHD_2 zf-HC5HC2H_2
Helrob_HelroP84338	PHD JmjC JHD
Helrob_HelroP85492	EPL1 PHD_2 zf-HC5HC2H_2
Helrob_HelroP86461	PHD
Helrob_HelroP88378	PHD
Helrob_HelroP88624	PHD JmjC JHD
Helrob_HelroP90399	PHD Bromodomain
Helrob_HelroP98481	PHD
Hemkuk_11236_TR3886_c0_g1	PHD
Hemkuk_12340_TR4224_c0_g1	Resolvase PHD
Hemkuk_21281_TR7056_c0_g1	PHD
Hemkuk_21282_TR7056_c0_g1	zf-HC5HC2H PHD
Hemkuk_2829_TR1007_c0_g3	PHD
Hemkuk_8596_TR2978_c0_g1	PHD PHD
Hetalb_XP_020427215.1	PHD
Hetalb_XP_020428415.1	PHD SNF2_N zf-C3HC4 Helicase_C
Hetalb_XP_020428877.1	HMG_box PHD PHD
Hetalb_XP_020429351.1	PHD
Hetalb_XP_020432149.1	PHD FHA
Hetalb_XP_020432501.1	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Hetalb_XP_020436244.1	PHD
Honfer_GBG24486	zf-TAZ Bromodomain PHD HAT_KAT11 ZZ zf-TAZ
Honfer_GBG24804	PHD_2 zf-HC5HC2H_2
Honfer_GBG25068	BAH PHD
Honfer_GBG25319	PHD
Honfer_GBG25889	Bromodomain PHD HAT_KAT11 ZZ
Honfer_GBG25890	Bromodomain PHD HAT_KAT11 zf-TAZ
Honfer_GBG29914	PHD
Honfer_GBG29976	Chromo SNF2_N Helicase_C PHD zf-HC5HC2H
Honfer_GBG31273	JmjN ARID PHD JmjC PHD PHD
Honfer_GBG32642	PHD
Honfer_GBG35001	PHD
Honfer_GBG35051	PHD
Hsap_ENSP00000226319.6	EPL1 PHD_2 zf-HC5HC2H_2
Hsap_ENSP00000252268.4	Requiem_N PHD
Hsap_ENSP00000253024.4	zf-RING_5 zf-B_box zf-B_box PHD
Hsap_ENSP00000257745.4	PHD SET
Hsap_ENSP00000262043.4	PHD TFIIS_M SPOC
Hsap_ENSP00000262189.6	zf-HC5HC2H PHD PHD zf-HC5HC2H_2 FYRN FYRC SET
Hsap_ENSP00000262450.3	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Hsap_ENSP00000264555.5	zf-RING_2 PHD
Hsap_ENSP00000266070.4	PHD TFIIS_M SPOC
Hsap_ENSP00000269197.4	HARE-HTH ASXH PHD_3
Hsap_ENSP00000276893.5	ubiquitin TTD PHD SAD_SRA
Hsap_ENSP00000282605.4	EPL1 PHD_2 zf-HC5HC2H_2
Hsap_ENSP00000287239.4	PHD zf-MYST MOZ_SAS
Hsap_ENSP00000291582.5	HSR SAND PHD
Hsap_ENSP00000301067.7	zf-HC5HC2H PHD PHD PHD zf-HC5HC2H_2 FYRN FYRC SET
Hsap_ENSP00000302327.6	PHD
Hsap_ENSP00000307411.7	PHD_2 zf-HC5HC2H_2
Hsap_ENSP00000311513.6	WHIM1 PHD
Hsap_ENSP00000315454.4	DDT PHD WSD PHD Bromodomain
Hsap_ENSP00000322579.3	PHD
Hsap_ENSP00000324403.5	PHD
Hsap_ENSP00000329933.4	PHD PHF12_MRG_bd PHD
Hsap_ENSP00000340271.5	Bromo_TP PHD
Hsap_ENSP00000340507.4	zf-B_box PHD Bromodomain
Hsap_ENSP00000340737.5	PHD
Hsap_ENSP00000341805.4	PHD
Hsap_ENSP00000342434.4	WAC_Acf1_DNA_bd WHIM1 WSD PHD Bromodomain
Hsap_ENSP00000347716.4	Requiem_N PHD
Hsap_ENSP00000350267.6	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Hsap_ENSP00000350676.5	PHD JmjC JHD
Hsap_ENSP00000351250.2	zf-RING_UBOX zf-B_box PHD Bromodomain
Hsap_ENSP00000352185.4	PHD JmjC JHD
Hsap_ENSP00000353458.1	WAC_Acf1_DNA_bd DDT WHIM1 WSD PHD Bromodomain
Hsap_ENSP00000356233.2	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PHD PHD
Hsap_ENSP00000357442.2	PHD
Hsap_ENSP00000359321.4	Tudor_2 PHD Mtf2_C
Hsap_ENSP00000361473.3	JmjN JmjC PHD_2 zf-HC5HC2H_2 Tudor_2 Tudor_2
Hsap_ENSP00000363640.3	Tudor_2 PHD Mtf2_C
Hsap_ENSP00000364550.4	JmjN ARID PHD JmjC zf-C5HC2 PLU-1
Hsap_ENSP00000364839.4	HARE-HTH ASXH PHD_3
Hsap_ENSP00000366271.3	Cupin_8 JHD zf-CXXC PHD_4 F-box
Hsap_ENSP00000366876.4	PHD
Hsap_ENSP00000369666.2	zf-CXXC PHD_4 F-box
Hsap_ENSP00000369716.4	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Hsap_ENSP00000370710.3	JmjN JmjC PHD_2 zf-HC5HC2H_2 Tudor_2 Tudor_2
Hsap_ENSP00000376534.2	MBD DDT WSD PHD Bromodomain
Hsap_ENSP00000380692.2	PHD JmjC JHD
Hsap_ENSP00000382688.2	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PHD
Hsap_ENSP00000385858.1	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Hsap_ENSP00000385888.2	PHD zf-MYST MOZ_SAS
Hsap_ENSP00000390475.1	PHD zf-CXXC zf-CpG_bind_C
Hsap_ENSP00000391447.3	HARE-HTH ASXH PHD_3
Hsap_ENSP00000391901.2	Tudor_2 PHD Mtf2_C
Hsap_ENSP00000397911.2	HSR SAND PHD Bromodomain
Hsap_ENSP00000398824.2	PHD
Hsap_ENSP00000398837.2	zf-CXXC PHD PHD zf-HC5HC2H FYRN FYRC SET
Hsap_ENSP00000432786.1	JHD zf-CXXC PHD_4 F-box
Hsap_ENSP00000436786.2	zf-CXXC PHD PHD zf-HC5HC2H FYRN FYRC SET
Hsap_ENSP00000440495.1	JmjN JmjC PHD_2 zf-HC5HC2H_2 Tudor_2 Tudor_2
Hsap_ENSP00000444293.1	JmjN ARID PHD JmjC zf-C5HC2 PLU-1
Hsap_ENSP00000446880.1	MBD DDT WHIM1 WSD WSD PHD Bromodomain
Hsap_ENSP00000477969.1	PHD_2 zf-HC5HC2H_2
Hsap_ENSP00000478171.1	ubiquitin TTD PHD SAD_SRA
Hsap_ENSP00000479377.1	EPL1 PHD_2 zf-HC5HC2H_2
Hsap_ENSP00000479910.1	PHD_2 zf-HC5HC2H_2
Hsap_ENSP00000483129.1	zf-RING_2 PHD
Hsap_ENSP00000483946.1	Tudor_2 PHD Mtf2_C
Hsap_ENSP00000486595.1	PHD zf-MYST MOZ_SAS
Hsap_ENSP00000489535.1	PHD zf-HC5HC2H_2 PHD PHD
Hsap_ENSP00000493629.2	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086
Hsap_ENSP00000495413.1	zf-B_box PHD Bromodomain
Hsap_ENSP00000496634.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Hsap_ENSP00000499951.1	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Hydvul_Sc4wPfr_1020.1.g6621.t1	zf-B_box PHD Bromodomain
Hydvul_Sc4wPfr_106.g23492.t1	PHD
Hydvul_Sc4wPfr_106.g23544.t1	JHD zf-CXXC PHD_4 F-box-like
Hydvul_Sc4wPfr_1091.g16425.t2	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Hydvul_Sc4wPfr_10.g18961.t1	PHD zf-C2HC zf-MYST MOZ_SAS
Hydvul_Sc4wPfr_10.g18961.t2	PHD zf-C2HC zf-MYST MOZ_SAS
Hydvul_Sc4wPfr_1107.1.g29867.t1	PHD RVT_1
Hydvul_Sc4wPfr_115.g30166.t1	PHD_2 zf-HC5HC2H_2
Hydvul_Sc4wPfr_1163.g25168.t1	WSD PHD PHD Bromodomain
Hydvul_Sc4wPfr_117.g15506.t1	PHD zf-MYND
Hydvul_Sc4wPfr_119.3.g4282.t1	YqaJ PHD
Hydvul_Sc4wPfr_1201.1.g8691.t1	zf-HC5HC2H PHD zf-HC5HC2H FYRN FYRC SET
Hydvul_Sc4wPfr_126.2.g29291.t1	PHD
Hydvul_Sc4wPfr_132.g22645.t1	PHD
Hydvul_Sc4wPfr_132.g22645.t2	PHD
Hydvul_Sc4wPfr_137.g27932.t1	RVT_1 PHD
Hydvul_Sc4wPfr_1514.g5384.t1	YqaJ PHD
Hydvul_Sc4wPfr_1514.g5384.t2	YqaJ PHD
Hydvul_Sc4wPfr_16.1.g8461.t1	MBD WSD PHD Bromodomain Ras
Hydvul_Sc4wPfr_1687.g11172.t1	PHD
Hydvul_Sc4wPfr_178.g10658.t1	PHD
Hydvul_Sc4wPfr_189.g28482.t1	PHD_2 zf-HC5HC2H_2 Tudor_2
Hydvul_Sc4wPfr_224.1.g33419.t1	PHD zf-HC5HC2H_2 PHD
Hydvul_Sc4wPfr_224.g18163.t1	PHD
Hydvul_Sc4wPfr_224.g18166.t1	PHD
Hydvul_Sc4wPfr_239.g21095.t1	EPL1 PHD_2 zf-HC5HC2H_2
Hydvul_Sc4wPfr_2476.g3630.t1	SWIM Peptidase_C48 PHD
Hydvul_Sc4wPfr_248.1.g22338.t1	PHD
Hydvul_Sc4wPfr_250.g16022.t1	ubiquitin TTD PHD
Hydvul_Sc4wPfr_25.1.g8862.t1	PHD
Hydvul_Sc4wPfr_353.g28187.t1	PHD BRK
Hydvul_Sc4wPfr_372.g27999.t1	PHD
Hydvul_Sc4wPfr_390.g5620.t1	PHD
Hydvul_Sc4wPfr_39.1.g26772.t1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Hydvul_Sc4wPfr_39.1.g26772.t4	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2 CHDCT2
Hydvul_Sc4wPfr_39.1.g26772.t5	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2 CHDCT2
Hydvul_Sc4wPfr_396.g3060.t1	PHD zf-CXXC
Hydvul_Sc4wPfr_523.g16373.t1	DDT PHD PHD
Hydvul_Sc4wPfr_555.g27146.t1	PHD
Hydvul_Sc4wPfr_55.g10841.t1	PHD
Hydvul_Sc4wPfr_719.g8302.t1	DDT PHD
Hydvul_Sc4wPfr_719.g8305.t1	PHD PHD Bromodomain
Hydvul_Sc4wPfr_730.g15321.t1	PHD SAM_1
Hydvul_Sc4wPfr_759.g27620.t1	zf-RING_2 PHD
Hydvul_Sc4wPfr_789.g22450.t1	ARID PHD JmjC zf-C5HC2 PLU-1
Hydvul_Sc4wPfr_830.g6322.t1	PHD
Hydvul_Sc4wPfr_844.g33332.t1	Requiem_N PHD
Hydvul_Sc4wPfr_844.g33332.t2	Requiem_N PHD
Hydvul_Sc4wPfr_854.g18446.t1	PHD zf-MYST MOZ_SAS Kinesin
Ihof_evm10s11	PHD zf-MYST MOZ_SAS
Ihof_evm10s49	PHD PHD
Ihof_evm13s25	PHD DDT
Ihof_evm1s16	PHD LRR_6
Ihof_evm1s262	PHD
Ihof_evm1s850	ARID PHD JmjC
Ihof_evm1s851	PHD WHIM1 WSD
Ihof_evm1s864	PHD SET
Ihof_evm2s685	PHD
Ihof_evm4s227	PHD TFIIS_M SPOC
Ihof_evm4s393	PHD PHD Bromodomain
Ihof_evm5s106	PHD
Ihof_evm7s143	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Ihof_evm7s260	PHD
Ihof_evm8s263	Tudor-knot PHD
Jakbah_JAKBA_01902.mRNA.1	PHD
Jakbah_JAKBA_02214.mRNA.1	PHD_2 zf-HC5HC2H_2
Jaklib_JAKLI_03659.mRNA.1	PHD
Jaklib_JAKLI_09624.mRNA.1	PHD
Jaklib_JAKLI_17030.mRNA.1	PHD_2 zf-HC5HC2H_2
Jaklib_JAKLI_19394.mRNA.1	PHD
Klenit_GAQ77858.1	zf-CCHC DNA_methylase RVT_1 RT_RNaseH Integrase_H2C2 PHD
Klenit_GAQ77984.1	AAA_34 PHD Helicase_C_4
Klenit_GAQ78264.1	PHD zf-HC5HC2H_2
Klenit_GAQ78297.1	PHD
Klenit_GAQ78729.1	BAH PHD
Klenit_GAQ79409.1	PHD Homeodomain
Klenit_GAQ80680.1	Jas PHD Acetyltransf_1 PLATZ
Klenit_GAQ80807.1	DDT WHIM1 PHD zf-HC5HC2H_2
Klenit_GAQ80866.1	RT_RNaseH PHD
Klenit_GAQ82184.1	PHD
Klenit_GAQ82868.1	zf-C2H2_6 zf-C2H2_6 zf-C2H2_6 PHD PHD zf-HC5HC2H FYRN SET
Klenit_GAQ83355.1	PHD BAH
Klenit_GAQ83717.1	PHD BAH AAA AAA_lid_10 Cdc6_C
Klenit_GAQ84154.1	ING PHD
Klenit_GAQ84608.1	PHD TFIIS_M
Klenit_GAQ85377.1	BAH PHD
Klenit_GAQ85711.1	zf-RING_2 PHD
Klenit_GAQ86106.1	zf-RING_2 PHD
Klenit_GAQ86430.1	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PLU-1 PLU-1 PHD PHD
Klenit_GAQ86937.1	zf-TAZ PHD HAT_KAT11 ZZ zf-TAZ
Klenit_GAQ87140.1	GATA Bromodomain PHD
Klenit_GAQ87364.1	Jas PHD Jas PHD
Klenit_GAQ87548.1	PTCB-BRCT BRCT PHD
Klenit_GAQ87806.1	Alfin PHD
Klenit_GAQ87975.1	RVT_1 RT_RNaseH Integrase_H2C2 rve PHD
Klenit_GAQ88421.1	PHD
Klenit_GAQ88555.1	AAA_34 PHD Helicase_C_4
Klenit_GAQ88977.1	PHD EsV_1_7_cys EsV_1_7_cys EsV_1_7_cys EsV_1_7_cys
Klenit_GAQ89224.1	Integrase_H2C2 PHD
Klenit_GAQ89291.1	AAA PHD
Klenit_GAQ89454.1	RVT_1 RT_RNaseH Integrase_H2C2 PHD
Klenit_GAQ89628.1	PHD
Klenit_GAQ90487.1	WAC_Acf1_DNA_bd PHD DDT WHIM1 WSD SAND
Klenit_GAQ91137.1	FYRC PHD_2 zf-HC5HC2H_2 SET
Klenit_GAQ91848.1	PHD_2 zf-HC5HC2H_2 PHD_2 zf-HC5HC2H_2
Klenit_GAQ91854.1	PHD
Klenit_GAQ92325.1	PHD
Klenit_GAQ92421.1	Integrase_H2C2 PHD
Klenit_GAQ92570.1	PHD
Klenit_GAQ92584.1	DNA_methylase RVT_1 RT_RNaseH Integrase_H2C2 PHD
Klenit_GAQ92744.1	Integrase_H2C2 PHD
Klenit_GAQ93097.1	PHD
Klenit_GAQ93458.1	PHD PHD
Klenit_GAQ93509.1	Integrase_H2C2 rve PHD
